CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
India,IND,Age dependency ratio (% of working-age population),SP.POP.DPND,1960,76.5595381
India,IND,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1960,5.403730447
India,IND,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1960,71.15580765
India,IND,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1960,42.56113077
India,IND,"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,1960,47368084618
India,IND,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,1960,3.90424E+12
India,IND,"Agriculture, value added (current LCU)",NV.AGR.TOTL.CN,1960,72564597600
India,IND,"Agriculture, value added (current US$)",NV.AGR.TOTL.CD,1960,15238580735
India,IND,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,547000000
India,IND,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1960,42.107
India,IND,Changes in inventories (constant LCU),NE.GDI.STKB.KN,1960,1.14354E+11
India,IND,Changes in inventories (current LCU),NE.GDI.STKB.CN,1960,3280282300
India,IND,Changes in inventories (current US$),NE.GDI.STKB.CD,1960,688859971.9
India,IND,CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD,1960,1.174577998
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,1960,120581.961
India,IND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1960,0.268161407
India,IND,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,1960,0
India,IND,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,1960,0
India,IND,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,1960,16.13903841
India,IND,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1960,19460.769
India,IND,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,1960,80.61612383
India,IND,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,1960,97208.503
India,IND,Consumer price index (2010 = 100),FP.CPI.TOTL,1960,2.587927167
India,IND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,1960,22.423
India,IND,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,1960,4.7619
India,IND,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,1960,-49191822300
India,IND,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,1960,-13887803600
India,IND,Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,1960,3.20963E+11
India,IND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,1960,4.386235338
India,IND,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,1960,4235159779
India,IND,Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,1960,2.93247E+11
India,IND,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,1960,7870000000
India,IND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1960,1652701653
India,IND,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,1960,-2.32966502
India,IND,External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,1960,-1.49007E+11
India,IND,External balance on goods and services (current LCU),NE.RSB.GNFS.CN,1960,-4180000000
India,IND,External balance on goods and services (current US$),NE.RSB.GNFS.CD,1960,-877800877.8
India,IND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1960,5.906
India,IND,Final consumption expenditure (constant 2005 US$),NE.CON.TOTL.KD,1960,89548131047
India,IND,Final consumption expenditure (constant LCU),NE.CON.TOTL.KN,1960,5.82077E+12
India,IND,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1960,1.71312E+11
India,IND,Final consumption expenditure (current US$),NE.CON.TOTL.CD,1960,35975652261
India,IND,"Final consumption expenditure, etc. (% of GDP)",NE.CON.TETC.ZS,1960,87.73844782
India,IND,"Final consumption expenditure, etc. (constant 2005 US$)",NE.CON.TETC.KD,1960,89655805876
India,IND,"Final consumption expenditure, etc. (constant LCU)",NE.CON.TETC.KN,1960,5.91442E+12
